iter	Passed	Remaining
0	4	41366
1	6	33681
2	9	32302
3	12	31772
4	15	31361
5	18	30966
6	22	31778
7	27	33756
8	30	33565
9	33	33253
10	36	32806
11	39	32812
12	43	33234
13	46	32900
14	49	32661
15	52	32458
16	55	32447
17	58	32525
18	61	32513
19	65	32440
20	69	33075
21	73	33441
22	76	33368
23	79	33109
24	82	32882
25	86	33202
26	89	33129
27	92	32969
28	95	32930
29	99	32968
30	102	32921
31	105	32849
32	108	32904
33	111	32811
34	115	32820
35	117	32654
36	120	32485
37	123	32329
38	126	32205
39	129	32280
40	132	32250
41	136	32276
42	138	32005
43	140	31898
44	144	31875
45	147	31861
46	150	31794
47	152	31697
48	155	31601
49	158	31502
50	161	31471
51	164	31506
52	168	31594
53	171	31546
54	174	31586
55	177	31590
56	180	31559
57	183	31515
58	186	31507
59	190	31553
60	193	31522
61	197	31625
62	200	31631
63	203	31604
64	206	31611
65	209	31549
66	212	31495
67	215	31480
68	218	31434
69	221	31414
70	224	31428
71	227	31390
72	230	31342
73	233	31267
74	236	31280
75	239	31231
76	242	31189
77	245	31181
78	247	31105
79	251	31130
80	254	31122
81	256	31075
82	259	31011
83	262	30971
84	264	30905
85	268	30923
86	270	30878
87	273	30838
88	275	30733
89	278	30676
90	282	30815
91	286	30818
92	288	30781
93	291	30724
94	294	30688
95	298	30772
96	301	30781
97	304	30760
98	307	30750
99	311	30825
100	315	30880
101	318	30874
102	321	30845
103	323	30810
104	327	30837
105	330	30856
106	333	30825
107	336	30788
108	340	30853
109	344	30932
110	347	30919
111	349	30889
112	352	30853
113	355	30799
114	359	30868
115	362	30880
116	365	30850
117	369	30936
118	373	31031
119	377	31048
120	380	31026
121	382	30998
122	386	31021
123	390	31128
124	394	31141
125	397	31119
126	400	31129
127	405	31292
128	410	31376
129	413	31409
130	417	31483
131	421	31537
132	424	31528
133	428	31524
134	431	31496
135	434	31546
136	438	31550
137	441	31534
138	444	31534
139	447	31529
140	451	31574
141	454	31573
142	458	31575
143	461	31600
144	465	31635
145	468	31620
146	472	31660
147	475	31667
148	481	31834
149	486	31952
150	490	32019
151	496	32187
152	500	32210
153	503	32219
154	507	32205
155	512	32316
156	515	32341
157	519	32354
158	523	32382
159	528	32474
160	531	32506
161	535	32528
162	543	32776
163	547	32863
164	551	32859
165	555	32879
166	559	32918
167	561	32889
168	564	32861
169	567	32833
170	571	32869
171	574	32853
172	578	32853
173	581	32838
174	585	32855
175	588	32857
176	592	32855
177	595	32835
178	597	32804
179	601	32801
180	604	32783
181	607	32756
182	609	32719
183	612	32686
184	615	32674
185	618	32642
186	621	32606
187	625	32620
188	627	32593
189	631	32593
190	634	32577
191	636	32539
192	640	32533
193	643	32513
194	646	32523
195	649	32494
196	653	32497
197	656	32477
198	658	32441
199	662	32443
200	665	32423
201	667	32399
202	670	32383
203	673	32354
204	676	32327
205	680	32334
206	683	32326
207	686	32295
208	688	32255
209	691	32233
210	694	32207
211	697	32201
212	700	32169
213	702	32142
214	705	32115
215	709	32139
216	712	32127
217	715	32101
218	718	32072
219	720	32038
220	724	32042
221	727	32021
222	729	31991
223	732	31963
224	735	31938
225	738	31917
226	740	31894
227	743	31884
228	746	31859
229	749	31836
230	752	31819
231	755	31795
232	757	31761
233	760	31737
234	763	31706
235	765	31683
236	768	31677
237	771	31653
238	774	31627
239	776	31597
240	780	31585
241	782	31560
242	785	31548
243	788	31530
244	791	31504
245	794	31494
246	797	31475
247	800	31471
248	802	31443
249	805	31420
250	808	31392
251	811	31391
252	814	31385
253	817	31363
254	820	31358
255	823	31348
256	826	31324
257	829	31306
258	831	31285
259	834	31265
260	837	31248
261	840	31226
262	843	31212
263	846	31230
264	849	31213
265	853	31221
266	856	31208
267	858	31186
268	862	31184
269	864	31161
270	867	31142
271	870	31145
272	873	31136
273	876	31127
274	880	31133
275	884	31173
276	888	31174
277	891	31172
278	894	31166
279	897	31156
280	900	31139
281	903	31125
282	906	31121
283	909	31117
284	912	31098
285	915	31085
286	918	31070
287	920	31053
288	923	31039
289	926	31020
290	929	30997
291	931	30982
292	941	31190
293	946	31237
294	952	31320
295	956	31365
296	960	31390
297	964	31412
298	969	31465
299	973	31464
300	976	31451
301	978	31430
302	981	31424
303	984	31414
304	988	31412
305	991	31424
306	995	31421
307	999	31448
308	1003	31458
309	1005	31440
310	1008	31427
311	1011	31408
312	1014	31401
313	1017	31380
314	1019	31359
315	1022	31337
316	1026	31351
317	1029	31348
318	1032	31333
319	1035	31317
320	1037	31294
321	1041	31288
322	1044	31282
323	1046	31267
324	1049	31257
325	1053	31259
326	1056	31254
327	1059	31248
328	1062	31231
329	1065	31219
330	1068	31213
331	1071	31196
332	1074	31182
333	1077	31169
334	1080	31167
335	1083	31156
336	1086	31143
337	1088	31124
338	1091	31110
