num_date_time,answer
1_20220825 00,2042.3330078125
1_20220825 01,1977.5202636719
1_20220825 02,1764.7952880859
1_20220825 03,1669.7171630859
1_20220825 04,1626.1328125000
1_20220825 05,1835.2951660156
1_20220825 06,2231.1081542969
1_20220825 07,2470.4365234375
1_20220825 08,2792.1445312500
1_20220825 09,3299.2705078125
1_20220825 10,3526.7517089844
1_20220825 11,3611.8178710938
1_20220825 12,3618.9943847656
1_20220825 13,4031.2089843750
1_20220825 14,4310.8364257812
1_20220825 15,3736.0544433594
1_20220825 16,3613.4609375000
1_20220825 17,3224.8222656250
1_20220825 18,2681.8156738281
1_20220825 19,2286.0407714844
1_20220825 20,2217.8764648438
1_20220825 21,2042.4956054688
1_20220825 22,1598.1556396484
1_20220825 23,2279.9165039062
1_20220826 00,2264.7416992188
1_20220826 01,2153.2922363281
1_20220826 02,1971.1849365234
1_20220826 03,1876.2282714844
1_20220826 04,1847.6085205078
1_20220826 05,2078.7399902344
1_20220826 06,2175.1389160156
1_20220826 07,2312.6850585938
1_20220826 08,2846.7148437500
1_20220826 09,3221.8942871094
1_20220826 10,3511.5900878906
1_20220826 11,3657.0520019531
1_20220826 12,3668.9182128906
1_20220826 13,3842.7639160156
1_20220826 14,3800.0302734375
1_20220826 15,3952.7827148438
1_20220826 16,4040.5512695312
1_20220826 17,3207.0451660156
1_20220826 18,2780.0246582031
1_20220826 19,2537.0393066406
1_20220826 20,2235.4321289062
1_20220826 21,2047.1679687500
1_20220826 22,1575.7362060547
1_20220826 23,1990.7490234375
1_20220827 00,1983.6380615234
1_20220827 01,1886.6365966797
1_20220827 02,1738.2584228516
1_20220827 03,1641.6236572266
1_20220827 04,1672.9511718750
1_20220827 05,1864.3988037109
1_20220827 06,2082.5144042969
1_20220827 07,2120.3618164062
1_20220827 08,2269.5009765625
1_20220827 09,2866.6096191406
1_20220827 10,3278.2624511719
1_20220827 11,3332.8632812500
1_20220827 12,3371.6811523438
1_20220827 13,3278.2478027344
1_20220827 14,3313.5212402344
1_20220827 15,3275.8286132812
1_20220827 16,3235.5993652344
1_20220827 17,3057.4265136719
1_20220827 18,2590.4270019531
1_20220827 19,2171.0661621094
1_20220827 20,2103.7607421875
1_20220827 21,2023.1942138672
1_20220827 22,1398.7648925781
1_20220827 23,1838.7734375000
1_20220828 00,1753.0590820312
1_20220828 01,1606.6676025391
1_20220828 02,1410.0838623047
1_20220828 03,1294.4392089844
1_20220828 04,1307.3033447266
1_20220828 05,1447.8026123047
1_20220828 06,1560.1832275391
1_20220828 07,1628.2786865234
1_20220828 08,1967.9248046875
1_20220828 09,2328.5639648438
1_20220828 10,2714.9882812500
1_20220828 11,2813.1225585938
1_20220828 12,2931.6462402344
1_20220828 13,3001.6196289062
1_20220828 14,2982.7495117188
1_20220828 15,2869.2900390625
1_20220828 16,2824.3879394531
1_20220828 17,2794.7788085938
1_20220828 18,2673.3269042969
1_20220828 19,2301.0805664062
1_20220828 20,2226.1411132812
1_20220828 21,1997.6951904297
1_20220828 22,1522.1347656250
1_20220828 23,2254.3464355469
1_20220829 00,2279.3454589844
1_20220829 01,2154.1015625000
1_20220829 02,2011.2637939453
1_20220829 03,1929.4500732422
1_20220829 04,1978.6333007812
1_20220829 05,2159.1608886719
1_20220829 06,2249.8276367188
1_20220829 07,2113.1604003906
1_20220829 08,2367.8964843750
1_20220829 09,3051.4099121094
1_20220829 10,3003.2214355469
1_20220829 11,3175.6213378906
1_20220829 12,3093.7866210938
1_20220829 13,3137.1132812500
1_20220829 14,3041.4484863281
1_20220829 15,3003.1745605469
1_20220829 16,3030.5058593750
1_20220829 17,3016.6437988281
1_20220829 18,2520.5620117188
1_20220829 19,2218.2531738281
1_20220829 20,2193.3391113281
1_20220829 21,1939.8930664062
1_20220829 22,1448.1433105469
1_20220829 23,1961.0583496094
1_20220830 00,1985.7468261719
1_20220830 01,1916.8687744141
1_20220830 02,1814.0515136719
1_20220830 03,1655.2663574219
1_20220830 04,1688.9713134766
