building_num,precipitation,humidity,sin_weekday,cos_weekday,sin_hour,cos_hour,month_6,month_7,holiday,DI,CDH,day_hour_mean,day_hour_std,hour_mean,hour_std,wind_chill
1,0.00086126477,0.0044970578,0.0019152489,0.0028492473,0.0019879155,0.0037739654,0.13612694,0.004284501,0.0054941997,0.015116245,0.020047175,0.76951575,0.0039205565,0.023514543,0.0014058265,0.0046896017
2,0.0018871534,0.013467835,0.0072120586,0.004739243,0.00481166,0.009079613,0.12018309,0.011101106,0.005394938,0.06707247,0.014143306,0.7039956,0.009278296,0.006927794,0.008377102,0.012328739
3,0.019896967,0.045843016,0.009482056,0.005741563,0.0036120445,0.013543175,0.01257593,0.03088643,0.0068410058,0.018372659,0.036536627,0.75690246,0.012256597,0.005037699,0.014244332,0.00822737
4,0.0008044193,0.0018559027,0.0016720287,0.0022264472,0.004338534,0.0165636,0.11953498,0.00639604,0.0024842029,0.0041330806,0.0058080684,0.7376597,0.001971123,0.084728085,0.00042022334,0.009403552
5,0.00054222246,0.0030373759,0.0059510088,0.0048188353,0.0048723905,0.075866245,0.111039646,0.002837443,0.003524385,0.018917747,0.00770743,0.73791885,0.01520918,0.002226712,0.0010980957,0.0044323388
6,0.0006181335,0.0015643201,0.0012774516,0.0012215171,0.0015834309,0.0018291986,0.054523714,0.0013728926,0.0021470848,0.0031024318,0.0082472935,0.7666558,0.0017917627,0.15019359,0.0015246668,0.0023466866
7,0.001589638,0.0057921894,0.008306494,0.0049497434,0.0030374082,0.0068090623,0.1329805,0.025985645,0.014078371,0.00930391,0.0070577017,0.75995654,0.005267263,0.004889909,0.0038786235,0.006116993
8,0.005025062,0.015888063,0.020342872,0.015071339,0.009162613,0.0080191195,0.024917653,0.030191774,0.018361531,0.03674569,0.02705439,0.70423573,0.026511764,0.010859777,0.021764146,0.025848504
9,0.00040076405,0.0023919472,0.0017267701,0.0023965316,0.0012005102,0.001110883,0.06386556,0.0041452274,0.0010306716,0.051569767,0.0020008334,0.843054,0.003184099,0.0042374507,0.0026214998,0.01506353
10,0.005707337,0.0067948676,0.009046717,0.01190931,0.010290776,0.0052769664,0.4927553,0.04438427,0.017936334,0.13197023,0.013008559,0.17825823,0.013324894,0.02885386,0.0077159866,0.022766367
11,0.010621843,0.004904361,0.0044753468,0.006580576,0.0039751856,0.018614156,0.021431414,0.01725585,0.005995082,0.029080454,0.018072002,0.7034157,0.0063893734,0.10563544,0.0038584329,0.039694756
12,0.0020143902,0.010325673,0.009335362,0.007213874,0.003646994,0.0074823997,0.055797547,0.008885141,0.02707118,0.053170722,0.044299934,0.6922818,0.007015647,0.010425571,0.0093844645,0.05164929
13,0.01553774,0.018178172,0.030226933,0.0225803,0.013471138,0.0149815325,0.035817485,0.043005165,0.043050744,0.07557578,0.11588755,0.39089915,0.019844757,0.0715465,0.035353344,0.05404376
14,0.017686518,0.023975192,0.04486448,0.032742232,0.019340543,0.020584688,0.038768895,0.031714965,0.034666516,0.03329215,0.028216124,0.53127205,0.0415376,0.03297475,0.035789806,0.03257344
15,0.0070149163,0.0059385975,0.010111931,0.010460553,0.009721668,0.007825312,0.07462776,0.011941924,0.011182342,0.03802339,0.063487515,0.69918674,0.011838343,0.007604729,0.0120274015,0.019006848
16,0.0003541987,0.0030385857,0.0013058386,0.0024551344,0.058251843,0.013172047,0.09403828,0.0031606068,0.0016730172,0.059017926,0.002006281,0.67066365,0.0038217397,0.07398441,0.0016759417,0.011380508
17,0.0010508661,0.011447418,0.0069118673,0.019170554,0.0021089127,0.0033590111,0.024280943,0.009737691,0.0024078325,0.008781993,0.0100358045,0.8452196,0.011972251,0.021801524,0.005964033,0.015749637
18,0.0016042298,0.006548331,0.0047610817,0.014098042,0.0026199864,0.00730206,0.13435808,0.003514304,0.019084413,0.012377569,0.010133612,0.759377,0.0032813065,0.009419062,0.003634102,0.007886877
19,0.0036902733,0.00814059,0.003223879,0.014953802,0.002029848,0.0017995792,0.0359196,0.0055824416,0.004579849,0.011553312,0.03300461,0.85994893,0.0052056047,0.0029981195,0.0031603393,0.0042092204
20,0.0006133973,0.009487524,0.008332807,0.02100887,0.0047667343,0.0105491355,0.017111938,0.0015180308,0.024585705,0.004269347,0.027921433,0.83337253,0.012417251,0.018214725,0.0013352196,0.00449536
21,0.0013839885,0.0044190004,0.012422401,0.008187546,0.0028872336,0.0016059604,0.02342831,0.0051488862,0.011174171,0.005904562,0.020166805,0.88390064,0.004159137,0.0044014775,0.0044435966,0.0063663395
22,0.0014400304,0.0041053602,0.002350918,0.008411864,0.002664039,0.0032562388,0.017822655,0.0034125485,0.0041975137,0.005543716,0.0039396454,0.89181083,0.0053841956,0.034087054,0.004715036,0.0068583447
23,0.000691487,0.005822985,0.004631718,0.0077958964,0.0024470629,0.0040872535,0.009906914,0.0025390908,0.0090301335,0.016280062,0.039632034,0.8663849,0.006566653,0.0026582717,0.008925383,0.012600071
24,0.0004948765,0.005762763,0.0031187835,0.0076344167,0.001334832,0.0016212162,0.12487484,0.0044295997,0.0020540876,0.010611571,0.010091337,0.6829557,0.009846699,0.11083188,0.015398257,0.008939168
25,0.00076645135,0.0073121567,0.0057383147,0.015925422,0.0010105114,0.0008459319,0.016406003,0.0013234164,0.0010101357,0.00447683,0.00861527,0.88366246,0.0055445726,0.0318092,0.005312981,0.010240377
