num_date_time,answer
1_20220825 00,1111.7908
1_20220825 01,1046.8595
1_20220825 02,1005.11755
1_20220825 03,1000.2407
1_20220825 04,1026.318
1_20220825 05,1108.5563
1_20220825 06,1415.6294
1_20220825 07,1750.394
1_20220825 08,2339.2314
1_20220825 09,2588.6326
1_20220825 10,2917.4912
1_20220825 11,3037.2397
1_20220825 12,3019.4136
1_20220825 13,3433.2898
1_20220825 14,3575.8428
1_20220825 15,2973.5234
1_20220825 16,3065.0154
1_20220825 17,2479.6316
1_20220825 18,2282.512
1_20220825 19,2146.2214
1_20220825 20,1906.8229
1_20220825 21,1635.2941
1_20220825 22,1293.7106
1_20220825 23,1180.9727
1_20220826 00,1050.0753
1_20220826 01,1023.9785
1_20220826 02,991.0007
1_20220826 03,955.8696
1_20220826 04,993.24695
1_20220826 05,1049.5712
1_20220826 06,1384.192
1_20220826 07,1843.273
1_20220826 08,2387.634
1_20220826 09,2630.935
1_20220826 10,3110.837
1_20220826 11,3310.5996
1_20220826 12,3326.3914
1_20220826 13,3773.7725
1_20220826 14,3744.5408
1_20220826 15,3633.9832
1_20220826 16,3658.5703
1_20220826 17,2595.8896
1_20220826 18,2521.6243
1_20220826 19,2281.5964
1_20220826 20,2136.4873
1_20220826 21,1754.162
1_20220826 22,1357.6002
1_20220826 23,1222.7249
1_20220827 00,1127.1813
1_20220827 01,1090.8848
1_20220827 02,1122.378
1_20220827 03,1008.5918
1_20220827 04,1017.6022
1_20220827 05,1130.2998
1_20220827 06,1434.0012
1_20220827 07,1770.5508
1_20220827 08,2381.6685
1_20220827 09,2643.927
1_20220827 10,3032.906
1_20220827 11,3197.4062
1_20220827 12,3310.7646
1_20220827 13,3331.891
1_20220827 14,3300.4126
1_20220827 15,3341.0188
1_20220827 16,3285.9927
1_20220827 17,2518.6416
1_20220827 18,2262.9287
1_20220827 19,2260.9897
1_20220827 20,2087.8396
1_20220827 21,1731.8508
1_20220827 22,1377.2498
1_20220827 23,1161.6107
1_20220828 00,1098.0042
1_20220828 01,998.1955
