best_iter,best_alpha
447,10
275,90
233,180
305,50
642,200
636,120
353,80
418,90
467,10
270,20
491,180
983,110
522,150
251,100
387,100
302,140
805,120
736,20
847,20
626,10
932,200
518,10
542,170
693,20
744,80
481,10
515,10
247,10
410,80
415,10
285,50
726,20
995,110
881,30
808,200
886,150
639,140
490,180
444,70
324,200
458,10
243,30
514,40
363,10
586,10
420,20
394,150
590,20
772,110
420,130
515,60
672,150
347,40
563,200
525,150
966,40
432,10
637,160
421,10
351,130
421,60
408,170
374,180
518,110
250,50
453,180
221,40
413,130
449,10
661,160
568,100
794,150
432,70
537,20
371,50
402,120
497,80
731,50
736,190
689,180
612,10
505,20
467,180
478,190
796,90
470,190
517,50
483,160
605,130
363,170
443,10
426,80
497,10
600,40
232,80
355,10
787,80
327,10
449,130
483,70
