building_num,temperature,precipitation,windspeed,humidity,sin_weekday,cos_weekday,sin_hour,cos_hour,month_6,month_7,month_8,holiday,DI,CDH,day_hour_mean,day_hour_std,hour_mean,hour_std,weekday_mean,weekday_std
1,0.0062596574,0.0030303334,0.0040104883,0.0102424,0.002729954,0.0026532887,0.004323132,0.0034689642,0.15500547,0.00653862,0.007162797,0.009619949,0.018180024,0.049673993,0.67881846,0.008196381,0.026142158,0.0039440272,0.0,0.0
2,0.0104151545,0.003734777,0.0057081333,0.015308529,0.010228098,0.007803922,0.008521315,0.02955862,0.15175968,0.018048242,0.022152945,0.0073398184,0.07784487,0.020504659,0.55098003,0.0155776115,0.02468759,0.019826066,0.0,0.0
3,0.009534708,0.011188021,0.011015289,0.06727611,0.01031002,0.006611237,0.0077206013,0.022104882,0.019305294,0.028766632,0.031490147,0.011108137,0.027927388,0.050150275,0.6273427,0.03937241,0.011776481,0.006999598,0.0,0.0
4,0.0051895445,0.0021831705,0.0018601735,0.0028329368,0.0027939486,0.003549085,0.014518685,0.010536352,0.19321015,0.01411426,0.0056199576,0.0027076872,0.007374536,0.005222115,0.6778152,0.0032940607,0.04597801,0.0012001413,0.0,0.0
5,0.0043850862,0.0013763222,0.0012860206,0.0043621333,0.0041773273,0.01749214,0.0067185597,0.05675321,0.1549324,0.0056361854,0.0013554489,0.008355221,0.009448454,0.006965858,0.639383,0.011423986,0.06485749,0.0010911382,0.0,0.0
6,0.0030599353,0.0009516794,0.0020623715,0.004224932,0.0014703206,0.0023270114,0.0045227744,0.009783462,0.09670711,0.004919953,0.0048903194,0.0057479776,0.004914611,0.020950314,0.8170015,0.008526039,0.007483752,0.00045592687,0.0,0.0
7,0.0055284253,0.0018489383,0.00829102,0.008515286,0.01747223,0.007092074,0.005799036,0.010703902,0.22750017,0.030645303,0.0015614271,0.025220726,0.018920336,0.011044015,0.5945315,0.01278001,0.009507042,0.0030385144,0.0,0.0
8,0.03615828,0.007743755,0.013560474,0.033477698,0.016522009,0.013120488,0.012818019,0.007108675,0.034476776,0.026594948,0.033711083,0.03520434,0.08528613,0.035297316,0.5278465,0.02774005,0.016384251,0.03694916,0.0,0.0
9,0.015973946,0.00079769833,0.0021894425,0.0101364385,0.0024693827,0.0042894776,0.0050863805,0.0023109003,0.088417955,0.011817981,0.011028214,0.0010469015,0.0834655,0.005226533,0.72980654,0.006370847,0.01571986,0.003845883,0.0,0.0
10,0.026053552,0.016182583,0.018022154,0.014775378,0.017734801,0.01304751,0.010950993,0.00803274,0.24067335,0.1321546,0.011343619,0.035500977,0.18031262,0.026129276,0.18639211,0.019075839,0.029805388,0.013812469,0.0,0.0
