num_date_time,answer
1_20220825 00,2004.4473876953125
1_20220825 01,1906.8017578125
1_20220825 02,1680.761962890625
1_20220825 03,1646.7354736328125
1_20220825 04,1639.8035888671875
1_20220825 05,1823.5697021484375
1_20220825 06,2226.384765625
1_20220825 07,2558.88
1_20220825 08,3052.32
1_20220825 09,3402.72
1_20220825 10,4191.84
1_20220825 11,4387.2
1_20220825 12,4359.84
1_20220825 13,4363.2
1_20220825 14,4336.32
1_20220825 15,4249.44
1_20220825 16,4146.24
1_20220825 17,3796.8
1_20220825 18,2789.28
1_20220825 19,2633.28
1_20220825 20,2387.04
1_20220825 21,2010.491943359375
1_20220825 22,1640.16
1_20220825 23,2463.36
1_20220826 00,2367.84
1_20220826 01,2261.76
1_20220826 02,2059.2
1_20220826 03,1983.36
1_20220826 04,2001.12
1_20220826 05,2172.48
1_20220826 06,2251.2
1_20220826 07,2410.08
1_20220826 08,2970.72
1_20220826 09,3442.08
1_20220826 10,4077.12
1_20220826 11,4442.4
1_20220826 12,4461.6
1_20220826 13,4454.88
1_20220826 14,4426.56
1_20220826 15,4313.28
1_20220826 16,4169.76
1_20220826 17,3963.36
1_20220826 18,2921.28
1_20220826 19,2733.6
1_20220826 20,2548.8
1_20220826 21,2108.64
1_20220826 22,1589.313232421875
1_20220826 23,1976.9859619140625
1_20220827 00,1975.3953857421875
1_20220827 01,1880.2864990234375
1_20220827 02,1754.3505859375
1_20220827 03,1647.139404296875
1_20220827 04,1736.57568359375
1_20220827 05,1865.3321533203125
1_20220827 06,2086.865966796875
1_20220827 07,2246.4
1_20220827 08,2605.92
1_20220827 09,2919.84
1_20220827 10,3846.24
1_20220827 11,4005.6
1_20220827 12,3895.2
1_20220827 13,3923.52
1_20220827 14,3878.4
1_20220827 15,3851.52
1_20220827 16,3838.56
1_20220827 17,3708.48
1_20220827 18,3238.08
1_20220827 19,2579.52
1_20220827 20,2425.92
1_20220827 21,2030.023681640625
1_20220827 22,1455.8126220703125
1_20220827 23,1850.6728515625
1_20220828 00,1760.142822265625
1_20220828 01,1690.08
1_20220828 02,1532.16
1_20220828 03,1446.72
1_20220828 04,1456.32
1_20220828 05,1611.36
1_20220828 06,1797.6
1_20220828 07,1646.8115234375
1_20220828 08,1788.4691162109375
1_20220828 09,2060.319580078125
1_20220828 10,3042.24
1_20220828 11,3440.16
1_20220828 12,3479.52
1_20220828 13,3530.88
1_20220828 14,3552.48
1_20220828 15,3475.68
1_20220828 16,3466.08
1_20220828 17,3445.44
1_20220828 18,3416.16
1_20220828 19,2819.04
1_20220828 20,2523.36
1_20220828 21,2101.92
1_20220828 22,1547.04
1_20220828 23,2379.467529296875
1_20220829 00,2375.52
1_20220829 01,2248.8
1_20220829 02,2068.8
1_20220829 03,2015.52
1_20220829 04,2051.04
1_20220829 05,2241.12
1_20220829 06,2297.28
1_20220829 07,2412.48
1_20220829 08,2608.32
1_20220829 09,3265.92
1_20220829 10,4004.16
1_20220829 11,4104.48
1_20220829 12,3968.16
1_20220829 13,4000.8
1_20220829 14,4292.64
1_20220829 15,4126.08
1_20220829 16,4057.44
1_20220829 17,3885.12
1_20220829 18,2856.0
1_20220829 19,2678.88
1_20220829 20,2377.44
1_20220829 21,1922.4
1_20220829 22,1508.35791015625
1_20220829 23,1986.9381103515625
1_20220830 00,2010.4874267578125
1_20220830 01,1932.0965576171875
1_20220830 02,1802.1243896484375
1_20220830 03,1637.989990234375
1_20220830 04,1682.1729736328125
1_20220830 05,1926.938720703125
1_20220830 06,2013.3489990234375
1_20220830 07,2363.04
1_20220830 08,2910.24
1_20220830 09,3359.04
1_20220830 10,4130.88
