num_date_time,answer
1_20220825 00,1911.8034667969
1_20220825 01,1877.8511962891
1_20220825 02,1723.1405029297
1_20220825 03,1627.5283203125
1_20220825 04,1671.1463623047
1_20220825 05,1893.1179199219
1_20220825 06,2361.7993164062
1_20220825 07,2303.6271972656
1_20220825 08,2777.4453125000
1_20220825 09,3372.1630859375
1_20220825 10,3666.2124023438
1_20220825 11,3714.4184570312
1_20220825 12,3553.5886230469
1_20220825 13,3936.6464843750
1_20220825 14,4345.8041992188
1_20220825 15,3669.6184082031
1_20220825 16,3769.8454589844
1_20220825 17,3155.4121093750
1_20220825 18,2721.4160156250
1_20220825 19,2507.4753417969
1_20220825 20,2212.7658691406
1_20220825 21,2078.6403808594
1_20220825 22,1644.4865722656
1_20220825 23,2286.4545898438
1_20220826 00,2291.3371582031
1_20220826 01,2252.3156738281
1_20220826 02,2037.1484375000
1_20220826 03,1983.2468261719
1_20220826 04,1987.0361328125
1_20220826 05,2228.4133300781
1_20220826 06,2138.9677734375
1_20220826 07,2226.2524414062
1_20220826 08,2793.5270996094
1_20220826 09,3271.8010253906
1_20220826 10,3484.4147949219
1_20220826 11,3697.1984863281
1_20220826 12,3677.9780273438
1_20220826 13,3929.0734863281
1_20220826 14,4019.7885742188
1_20220826 15,3938.2504882812
1_20220826 16,4267.2514648438
1_20220826 17,3180.8056640625
1_20220826 18,2646.3837890625
1_20220826 19,2710.0424804688
1_20220826 20,2302.3361816406
1_20220826 21,2014.3417968750
1_20220826 22,1568.0427246094
1_20220826 23,2066.4960937500
1_20220827 00,2066.6113281250
1_20220827 01,1924.4708251953
1_20220827 02,1797.0839843750
1_20220827 03,1589.3892822266
1_20220827 04,1725.2536621094
1_20220827 05,1813.1719970703
1_20220827 06,2121.8549804688
1_20220827 07,2047.4964599609
1_20220827 08,2304.3264160156
1_20220827 09,2856.4926757812
1_20220827 10,3018.6423339844
1_20220827 11,3198.5715332031
1_20220827 12,3175.2910156250
1_20220827 13,3253.0859375000
1_20220827 14,3123.8488769531
1_20220827 15,3071.6169433594
1_20220827 16,3166.1591796875
1_20220827 17,2896.1096191406
1_20220827 18,2547.7385253906
1_20220827 19,2250.6308593750
1_20220827 20,2037.9969482422
1_20220827 21,1998.4793701172
1_20220827 22,1376.8576660156
1_20220827 23,1820.0187988281
1_20220828 00,1572.2259521484
1_20220828 01,1496.7254638672
1_20220828 02,1324.9923095703
1_20220828 03,1292.5744628906
1_20220828 04,1317.6589355469
1_20220828 05,1485.8201904297
1_20220828 06,1490.2061767578
1_20220828 07,1606.9342041016
1_20220828 08,1986.4652099609
1_20220828 09,2235.6748046875
1_20220828 10,2630.1010742188
1_20220828 11,2885.3417968750
1_20220828 12,2923.6469726562
1_20220828 13,2843.6262207031
1_20220828 14,2853.1035156250
1_20220828 15,2807.8701171875
1_20220828 16,2766.9240722656
1_20220828 17,2564.8554687500
1_20220828 18,2632.3811035156
1_20220828 19,2306.5505371094
1_20220828 20,2153.2058105469
1_20220828 21,2040.4394531250
1_20220828 22,1404.4957275391
1_20220828 23,2216.9272460938
1_20220829 00,2143.6752929688
