num_date_time,answer
1_20220825 00,2036.7683105469
1_20220825 01,1959.5161132812
1_20220825 02,1735.7492675781
1_20220825 03,1652.9039306641
1_20220825 04,1602.7443847656
1_20220825 05,1811.3842773438
1_20220825 06,2249.3066406250
1_20220825 07,2324.7072753906
1_20220825 08,2721.8747558594
1_20220825 09,3339.2468261719
1_20220825 10,3541.7895507812
1_20220825 11,3645.3439941406
1_20220825 12,3625.2988281250
1_20220825 13,3977.0529785156
1_20220825 14,4248.8627929688
1_20220825 15,3685.2192382812
1_20220825 16,3621.5815429688
1_20220825 17,3360.5197753906
1_20220825 18,2663.5307617188
1_20220825 19,2280.7800292969
1_20220825 20,2214.7575683594
1_20220825 21,2038.5328369141
1_20220825 22,1589.2722167969
1_20220825 23,2247.2282714844
1_20220826 00,2302.6381835938
1_20220826 01,2169.7827148438
1_20220826 02,1983.7149658203
1_20220826 03,1880.8706054688
1_20220826 04,1844.0970458984
1_20220826 05,2049.7536621094
1_20220826 06,2065.2128906250
1_20220826 07,2188.6306152344
1_20220826 08,2744.1079101562
1_20220826 09,3241.3867187500
1_20220826 10,3505.6530761719
1_20220826 11,3636.7780761719
1_20220826 12,3635.0163574219
1_20220826 13,3733.3125000000
1_20220826 14,3713.8535156250
1_20220826 15,3947.0695800781
1_20220826 16,4108.1215820312
1_20220826 17,3276.9907226562
1_20220826 18,2811.4956054688
1_20220826 19,2586.2507324219
1_20220826 20,2250.8156738281
1_20220826 21,2084.3098144531
1_20220826 22,1593.1495361328
1_20220826 23,2011.0513916016
1_20220827 00,1966.5018310547
1_20220827 01,1900.8111572266
1_20220827 02,1752.7216796875
1_20220827 03,1630.4610595703
1_20220827 04,1698.8328857422
1_20220827 05,1820.4389648438
1_20220827 06,2019.8963623047
1_20220827 07,1973.7281494141
1_20220827 08,2145.9973144531
1_20220827 09,2806.6433105469
1_20220827 10,3246.6391601562
1_20220827 11,3286.0791015625
1_20220827 12,3327.7512207031
1_20220827 13,3283.0847167969
1_20220827 14,3304.9836425781
1_20220827 15,3306.0261230469
1_20220827 16,3311.8300781250
1_20220827 17,3092.9562988281
1_20220827 18,2577.2285156250
1_20220827 19,2168.9809570312
1_20220827 20,2060.1381835938
1_20220827 21,2006.0852050781
1_20220827 22,1428.0343017578
1_20220827 23,1850.7629394531
1_20220828 00,1717.6159667969
1_20220828 01,1580.4818115234
1_20220828 02,1359.8448486328
1_20220828 03,1317.9809570312
1_20220828 04,1332.7487792969
1_20220828 05,1464.1697998047
1_20220828 06,1558.0186767578
1_20220828 07,1635.4129638672
1_20220828 08,1877.6477050781
1_20220828 09,2185.5661621094
1_20220828 10,2670.7236328125
1_20220828 11,2823.1306152344
1_20220828 12,2942.1865234375
1_20220828 13,3034.0207519531
1_20220828 14,2984.2915039062
1_20220828 15,2900.2397460938
1_20220828 16,2822.3020019531
1_20220828 17,2802.3911132812
1_20220828 18,2642.1857910156
1_20220828 19,2187.3940429688
1_20220828 20,2223.7846679688
1_20220828 21,1943.8796386719
1_20220828 22,1490.5349121094
1_20220828 23,2175.8999023438
1_20220829 00,2232.6281738281
1_20220829 01,2118.4645996094
1_20220829 02,1990.8969726562
1_20220829 03,1875.5533447266
1_20220829 04,1937.7890625000
1_20220829 05,2077.6005859375
1_20220829 06,2143.8115234375
1_20220829 07,1962.2419433594
1_20220829 08,2335.3305664062
1_20220829 09,2919.2536621094
1_20220829 10,3058.8361816406
1_20220829 11,3221.4816894531
1_20220829 12,3166.9824218750
1_20220829 13,3171.8872070312
1_20220829 14,3247.3269042969
1_20220829 15,3249.6716308594
1_20220829 16,3165.4943847656
1_20220829 17,3042.3657226562
1_20220829 18,2494.3420410156
1_20220829 19,2134.7751464844
1_20220829 20,2063.1086425781
1_20220829 21,1870.8609619141
1_20220829 22,1461.6947021484
1_20220829 23,1967.4304199219
1_20220830 00,1991.0598144531
1_20220830 01,1916.2105712891
1_20220830 02,1771.3154296875
1_20220830 03,1644.4621582031
1_20220830 04,1687.4755859375
1_20220830 05,1871.6621093750
1_20220830 06,1942.7878417969
1_20220830 07,2276.0529785156
1_20220830 08,2874.1374511719
1_20220830 09,3356.1672363281
1_20220830 10,3597.4948730469
1_20220830 11,3635.7995605469
1_20220830 12,3654.2268066406
1_20220830 13,3586.5578613281
1_20220830 14,3647.6364746094
1_20220830 15,3661.3952636719
1_20220830 16,3647.6950683594
1_20220830 17,3416.2717285156
1_20220830 18,2813.4260253906
1_20220830 19,2537.5175781250
1_20220830 20,2285.9523925781
1_20220830 21,1831.2141113281
1_20220830 22,1599.1824951172
1_20220830 23,2110.6350097656
1_20220831 00,2150.4069824219
1_20220831 01,2096.3813476562
1_20220831 02,1990.6644287109
1_20220831 03,1900.1781005859
1_20220831 04,1824.1968994141
1_20220831 05,1994.2956542969
1_20220831 06,2075.0419921875
1_20220831 07,2260.4233398438
1_20220831 08,2811.3603515625
1_20220831 09,3226.5241699219
1_20220831 10,3474.5056152344
1_20220831 11,3586.2412109375
1_20220831 12,3580.2001953125
1_20220831 13,3569.0021972656
1_20220831 14,3650.1166992188
1_20220831 15,3586.4177246094
1_20220831 16,3559.9357910156
1_20220831 17,3225.2761230469
1_20220831 18,2432.4389648438
1_20220831 19,2305.5378417969
1_20220831 20,2135.0935058594
1_20220831 21,1979.2009277344
1_20220831 22,1423.7644042969
1_20220831 23,1930.9713134766
2_20220825 00,1214.6563720703
2_20220825 01,1214.1999511719
2_20220825 02,1215.2584228516
2_20220825 03,1192.8615722656
2_20220825 04,1188.6248779297
2_20220825 05,1185.5917968750
2_20220825 06,1198.3636474609
2_20220825 07,1196.2238769531
2_20220825 08,1521.1580810547
2_20220825 09,1718.9788818359
2_20220825 10,2062.8178710938
2_20220825 11,2033.6979980469
2_20220825 12,2136.6125488281
2_20220825 13,2107.7448730469
2_20220825 14,2294.7954101562
2_20220825 15,1905.7058105469
2_20220825 16,2146.7409667969
2_20220825 17,2127.9665527344
2_20220825 18,2162.8579101562
2_20220825 19,2017.4874267578
2_20220825 20,1882.6685791016
2_20220825 21,1629.4666748047
2_20220825 22,1037.4978027344
2_20220825 23,1241.3271484375
2_20220826 00,1198.2573242188
2_20220826 01,1191.2231445312
2_20220826 02,1191.2231445312
2_20220826 03,1204.4301757812
2_20220826 04,1203.5614013672
2_20220826 05,1187.6524658203
2_20220826 06,1171.6225585938
2_20220826 07,1169.0838623047
2_20220826 08,1453.9604492188
2_20220826 09,1703.0340576172
2_20220826 10,1898.6885986328
2_20220826 11,1826.1019287109
2_20220826 12,1861.2371826172
2_20220826 13,1932.4542236328
2_20220826 14,1858.8286132812
