building_num,temperature,precipitation,windspeed,humidity,cooling_area,solar,ess,sin_weekday,cos_weekday,sin_hour,cos_hour,month_6,month_7,holiday,DI,CDH,day_hour_mean,day_hour_std,hour_mean,hour_std,Apartment,Commercial,Data Center,Department Store and Outlet,Discount Mart,Hospital,Hotel and Resort,Knowledge Industry Center,Other Buildings,Public,Research Institute
1,0.002222146,0.0015215582,0.0012716679,0.006694682,0.0,0.0,0.0,0.0029710443,0.0028796515,0.0021223642,0.0047723716,0.16670048,0.0034380043,0.008377494,0.016983809,0.013140588,0.7506616,0.0035226762,0.0117162615,0.0010035613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.003312967,0.0016742264,0.0025620467,0.012887646,0.0,0.0,0.0,0.0038408397,0.006373118,0.0041047684,0.006804136,0.24012947,0.014539878,0.00837606,0.030834453,0.008212311,0.6403123,0.007276362,0.004790051,0.003969361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0068135816,0.01714212,0.0070399903,0.037460748,0.0,0.0,0.0,0.013226774,0.00926504,0.006365793,0.008018165,0.024197634,0.04323469,0.010707383,0.016682602,0.025413465,0.7484911,0.011715545,0.010221343,0.0040039225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.004733251,0.0012303955,0.0007871641,0.0015976151,0.0,0.0,0.0,0.0017133645,0.0020240906,0.0014373331,0.0052631036,0.17971729,0.008741887,0.0031928977,0.0037812798,0.0026920014,0.6090553,0.0017730088,0.03173884,0.14052118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0024923643,0.0009703983,0.0011616655,0.004565843,0.0,0.0,0.0,0.0028067967,0.0016780848,0.0032163686,0.050619088,0.21499804,0.0025599487,0.0071664015,0.012331438,0.0058244527,0.6727225,0.011112096,0.004673507,0.0011009988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0016261053,0.0006769215,0.0008142468,0.0020906352,0.0,0.0,0.0,0.0011885202,0.0012094189,0.0014559355,0.0016142103,0.09744094,0.0030459552,0.0039474475,0.0029700266,0.0067646136,0.8643291,0.0016323838,0.00810128,0.0010921685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0027265775,0.0014528155,0.0025057774,0.0036150804,0.0,0.0,0.0,0.0068721194,0.0065238774,0.0020149313,0.003960534,0.28894016,0.019401908,0.028396424,0.005325157,0.00508473,0.61286145,0.005331148,0.0021666246,0.0028206592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.017915454,0.0070111095,0.011891909,0.024556037,0.0,0.0,0.0,0.023537626,0.019707033,0.0121532995,0.008209795,0.019207234,0.029789766,0.029819649,0.032318372,0.032293856,0.6710189,0.030281099,0.012324756,0.017964076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.007696316,0.00050736027,0.0011280967,0.0035913312,0.0,0.0,0.0,0.0020522098,0.00220446,0.0007684905,0.0009411577,0.13227485,0.0063685467,0.0013890644,0.0431995,0.0020999783,0.7838018,0.0035088665,0.0063614333,0.0021065774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.008592054,0.0075921994,0.006056355,0.0059984387,0.0,0.0,0.0,0.008333681,0.013410549,0.005371063,0.0035441427,0.5725351,0.103002094,0.037213925,0.063877456,0.008556903,0.12096356,0.0068803187,0.020716935,0.0073553217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
