num_date_time,answer
1_20220825 00,531.4292
1_20220825 01,531.4292
1_20220825 02,531.4292
1_20220825 03,531.4292
1_20220825 04,531.4292
1_20220825 05,531.4292
1_20220825 06,531.4292
1_20220825 07,531.4292
1_20220825 08,531.4292
1_20220825 09,531.4292
1_20220825 10,531.4292
1_20220825 11,531.4292
1_20220825 12,531.4292
1_20220825 13,531.4292
1_20220825 14,531.4292
1_20220825 15,531.4292
1_20220825 16,531.4292
1_20220825 17,531.4292
1_20220825 18,531.4292
1_20220825 19,531.4292
1_20220825 20,531.4292
1_20220825 21,531.4292
1_20220825 22,531.4292
1_20220825 23,531.4292
1_20220826 00,531.4292
1_20220826 01,531.4292
1_20220826 02,531.4292
1_20220826 03,531.4292
1_20220826 04,531.4292
1_20220826 05,531.4292
1_20220826 06,531.4292
1_20220826 07,531.4292
1_20220826 08,531.4292
1_20220826 09,531.4292
1_20220826 10,531.4292
1_20220826 11,531.4292
1_20220826 12,531.4292
1_20220826 13,531.4292
1_20220826 14,531.4292
1_20220826 15,531.4292
1_20220826 16,531.4292
1_20220826 17,531.4292
1_20220826 18,531.4292
1_20220826 19,531.4292
1_20220826 20,531.4292
1_20220826 21,531.4292
1_20220826 22,531.4292
1_20220826 23,531.4292
1_20220827 00,531.4292
1_20220827 01,531.4292
1_20220827 02,531.4292
1_20220827 03,531.4292
1_20220827 04,531.4292
1_20220827 05,531.4292
1_20220827 06,531.4292
1_20220827 07,531.4292
1_20220827 08,531.4292
1_20220827 09,531.4292
1_20220827 10,531.4292
1_20220827 11,531.4292
1_20220827 12,531.4292
1_20220827 13,531.4292
1_20220827 14,531.4292
1_20220827 15,531.4292
1_20220827 16,531.4292
1_20220827 17,531.4292
1_20220827 18,531.4292
1_20220827 19,531.4292
1_20220827 20,531.4292
1_20220827 21,531.4292
1_20220827 22,531.4292
1_20220827 23,531.4292
1_20220828 00,531.4292
1_20220828 01,531.4292
1_20220828 02,531.4292
1_20220828 03,531.4292
1_20220828 04,531.4292
1_20220828 05,531.4292
1_20220828 06,531.4292
1_20220828 07,531.4292
1_20220828 08,531.4292
